City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Honiara,SB,-9.4333,159.95,84.09,69,100,6.76,overcast clouds
284,Quang Ngai,VN,15.1167,108.8,81.45,65,6,2.86,clear sky
285,Galesong,ID,-5.3166,119.3661,86.02,71,100,5.5,overcast clouds
286,Komsomolskiy,UZ,40.4272,71.7189,34.52,86,100,6.91,mist
287,Linhares,BR,-19.3911,-40.0722,72.19,95,38,3.24,scattered clouds
288,Lagoa,PT,39.05,-27.9833,57.9,55,18,12.15,few clouds
289,Weligama,LK,5.9667,80.4167,82.49,68,15,1.25,few clouds
290,Gazanjyk,TM,39.2446,55.5154,35.42,83,14,8.41,few clouds
291,Ketchikan,US,55.3422,-131.6461,46.38,87,100,18.41,light rain
292,Henties Bay,NA,-22.116,14.2845,61.86,83,99,1.68,overcast clouds
293,Baykit,RU,61.67,96.37,-3.78,98,100,2.59,overcast clouds
294,Canmore,CA,51.0834,-115.3521,41.49,67,100,9.22,overcast clouds
295,San Patricio,US,28.017,-97.5169,51.82,49,0,5.99,clear sky
296,Zeya,RU,53.75,127.2667,10.13,54,100,6.91,overcast clouds
297,Belaya Gora,RU,68.5333,146.4167,-16.58,93,100,1.88,overcast clouds
298,Laurentides,CA,46.4334,-74.9826,-16.89,98,15,3.49,few clouds
299,Methven,NZ,-43.6333,171.65,86.02,32,39,4.0,scattered clouds
300,Olinda,BR,-8.0089,-34.8553,73.13,100,75,6.91,mist
301,Mihijam,IN,23.8526,86.8788,64.13,39,0,10.42,clear sky
302,Pljevlja,ME,43.3333,19.3333,23.99,97,100,4.41,light snow
303,Obo,CF,5.3998,26.4869,66.79,23,27,6.96,scattered clouds
304,Tuatapere,NZ,-46.1333,167.6833,67.82,47,100,1.54,overcast clouds
305,Luderitz,NA,-26.6481,15.1594,66.42,75,0,20.49,clear sky
306,Hay River,CA,60.8156,-115.7999,-2.22,78,75,5.75,light snow
307,Yarmouth,US,41.7057,-70.2286,36.14,85,100,15.01,snow
308,Ponta Do Sol,PT,32.6667,-17.1,61.43,49,67,4.47,broken clouds
309,Almaznyy,RU,48.0448,40.045,32.14,97,100,13.49,light snow
310,Lethem,GY,3.3803,-59.7968,79.03,61,70,12.93,broken clouds
311,Quchan,IR,37.106,58.5095,28.02,83,6,6.82,clear sky
312,Maniitsoq,GL,65.4167,-52.9,13.21,87,100,18.57,snow
313,Kununurra,AU,-15.7667,128.7333,91.38,62,75,11.5,broken clouds
314,Saint Simons,US,31.1352,-81.3901,49.06,60,0,8.05,clear sky
315,Dawson Creek,CA,55.7666,-120.2362,38.84,52,0,11.5,clear sky
316,Baculin,PH,7.4525,126.5842,84.58,70,66,5.35,broken clouds
317,Erenhot,CN,43.6475,111.9767,7.32,80,10,7.34,clear sky
318,Nosy Varika,MG,-20.5833,48.5333,72.36,77,0,2.82,clear sky
319,Bengbu,CN,32.9408,117.3608,40.46,41,100,6.98,overcast clouds
320,Campbellton,CA,48.0075,-66.6727,-3.55,98,30,4.88,scattered clouds
321,Kieta,PG,-6.2167,155.6333,84.54,74,66,6.82,light rain
322,Te Anau,NZ,-45.4167,167.7167,69.62,45,99,6.93,overcast clouds
323,Sibolga,ID,1.7427,98.7792,86.18,62,100,3.74,overcast clouds
324,Manicore,BR,-5.8092,-61.3003,72.43,99,100,1.74,light rain
